id,games_home_team,games_away_team,date,winner,matchweek,field,played,division
1,4,9,12/01/2022 21:30,-1,1,Campo 1,True,Quadro A
2,7,5,12/01/2022 21:30,1,1,Campo 1,True,Quadro A
3,10,5,12/01/2022 21:30,1,1,Campo 1,True,Quadro A
4,5,10,12/01/2022 21:30,-1,1,Campo 2,True,Quadro A
5,8,6,12/01/2022 21:30,1,1,Campo 2,True,Quadro A
6,5,10,12/01/2022 21:30,-1,1,Campo 2,True,Quadro A
7,7,5,19/01/2022 21:30,1,2,Campo 1,True,Quadro A
8,5,9,19/01/2022 21:30,-1,2,Campo 1,True,Quadro A
9,6,7,19/01/2022 21:30,-1,2,Campo 1,True,Quadro A
10,8,4,19/01/2022 21:30,1,2,Campo 2,True,Quadro A
11,10,4,19/01/2022 21:30,1,2,Campo 2,True,Quadro A
12,8,5,19/01/2022 21:30,1,2,Campo 2,True,Quadro A
13,,,26/01/2022 21:30,,3,Campo 1,False,Quadro A
14,,,26/01/2022 21:30,,3,Campo 1,False,Quadro A
15,,,26/01/2022 21:30,,3,Campo 1,False,Quadro A
16,,,26/01/2022 21:30,,3,Campo 2,False,Quadro A
17,,,26/01/2022 21:30,,3,Campo 2,False,Quadro A
18,,,26/01/2022 21:30,,3,Campo 2,False,Quadro A
19,,,02/02/2022 21:30,,4,Campo 1,False,Quadro A
20,,,02/02/2022 21:30,,4,Campo 1,False,Quadro A
21,,,02/02/2022 21:30,,4,Campo 1,False,Quadro A
22,,,02/02/2022 21:30,,4,Campo 2,False,Quadro A
23,,,02/02/2022 21:30,,4,Campo 2,False,Quadro A
24,,,02/02/2022 21:30,,4,Campo 2,False,Quadro A
25,,,09/02/2022 21:30,,5,Campo 1,False,Quadro A
26,,,09/02/2022 21:30,,5,Campo 1,False,Quadro A
27,,,09/02/2022 21:30,,5,Campo 1,False,Quadro A
28,,,09/02/2022 21:30,,5,Campo 2,False,Quadro A
29,,,09/02/2022 21:30,,5,Campo 2,False,Quadro A
30,,,09/02/2022 21:30,,5,Campo 2,False,Quadro A
31,,,16/02/2022 21:30,,6,Campo 1,False,Quadro A
32,,,16/02/2022 21:30,,6,Campo 1,False,Quadro A
33,,,16/02/2022 21:30,,6,Campo 1,False,Quadro A
34,,,16/02/2022 21:30,,6,Campo 2,False,Quadro A
35,,,16/02/2022 21:30,,6,Campo 2,False,Quadro A
36,,,16/02/2022 21:30,,6,Campo 2,False,Quadro A
37,,,23/02/2022 21:30,,7,Campo 1,False,Quadro A
38,,,23/02/2022 21:30,,7,Campo 1,False,Quadro A
39,,,23/02/2022 21:30,,7,Campo 1,False,Quadro A
40,,,23/02/2022 21:30,,7,Campo 2,False,Quadro A
41,,,23/02/2022 21:30,,7,Campo 2,False,Quadro A
42,,,23/02/2022 21:30,,7,Campo 2,False,Quadro A
43,3,9,12/01/2022 21:30,-1,1,Campo 1,True,Quadro B
44,6,8,12/01/2022 21:30,-1,1,Campo 1,True,Quadro B
45,7,4,12/01/2022 21:30,1,1,Campo 1,True,Quadro B
46,5,8,12/01/2022 21:30,-1,1,Campo 2,True,Quadro B
47,6,6,12/01/2022 21:30,0,1,Campo 2,True,Quadro B
48,3,9,12/01/2022 21:30,-1,1,Campo 2,True,Quadro B
49,9,3,19/01/2022 21:30,1,2,Campo 1,True,Quadro B
50,9,3,19/01/2022 21:30,1,2,Campo 1,True,Quadro B
51,6,7,19/01/2022 21:30,-1,2,Campo 1,True,Quadro B
52,3,10,19/01/2022 21:30,-1,2,Campo 2,True,Quadro B
53,9,6,19/01/2022 21:30,1,2,Campo 2,True,Quadro B
54,4,7,19/01/2022 21:30,-1,2,Campo 2,True,Quadro B
55,,,26/01/2022 21:30,,3,Campo 1,False,Quadro B
56,,,26/01/2022 21:30,,3,Campo 1,False,Quadro B
57,,,26/01/2022 21:30,,3,Campo 1,False,Quadro B
58,,,26/01/2022 21:30,,3,Campo 2,False,Quadro B
59,,,26/01/2022 21:30,,3,Campo 2,False,Quadro B
60,,,26/01/2022 21:30,,3,Campo 2,False,Quadro B
61,,,02/02/2022 21:30,,4,Campo 1,False,Quadro B
62,,,02/02/2022 21:30,,4,Campo 1,False,Quadro B
63,,,02/02/2022 21:30,,4,Campo 1,False,Quadro B
64,,,02/02/2022 21:30,,4,Campo 2,False,Quadro B
65,,,02/02/2022 21:30,,4,Campo 2,False,Quadro B
66,,,02/02/2022 21:30,,4,Campo 2,False,Quadro B
67,,,09/02/2022 21:30,,5,Campo 1,False,Quadro B
68,,,09/02/2022 21:30,,5,Campo 1,False,Quadro B
69,,,09/02/2022 21:30,,5,Campo 1,False,Quadro B
70,,,09/02/2022 21:30,,5,Campo 2,False,Quadro B
71,,,09/02/2022 21:30,,5,Campo 2,False,Quadro B
72,,,09/02/2022 21:30,,5,Campo 2,False,Quadro B
73,,,16/02/2022 21:30,,6,Campo 1,False,Quadro B
74,,,16/02/2022 21:30,,6,Campo 1,False,Quadro B
75,,,16/02/2022 21:30,,6,Campo 1,False,Quadro B
76,,,16/02/2022 21:30,,6,Campo 2,False,Quadro B
77,,,16/02/2022 21:30,,6,Campo 2,False,Quadro B
78,,,16/02/2022 21:30,,6,Campo 2,False,Quadro B
79,,,23/02/2022 21:30,,7,Campo 1,False,Quadro B
80,,,23/02/2022 21:30,,7,Campo 1,False,Quadro B
81,,,23/02/2022 21:30,,7,Campo 1,False,Quadro B
82,,,23/02/2022 21:30,,7,Campo 2,False,Quadro B
83,,,23/02/2022 21:30,,7,Campo 2,False,Quadro B
84,,,23/02/2022 21:30,,7,Campo 2,False,Quadro B
